Page Route,Page Type,Purpose,Components Used,API Endpoints Called,User Roles Allowed,State Management,Navigation Links,Features,Status
/,Home/Index,Application entry point redirects to login or dashboard,"Header with Auth Auth Provider Theme Provider","GET /api/auth/me",All (redirects if not auth),useRouter React Context,/login /report /admin,Home page or redirect to last page,✅
/login,Authentication,User login form,"Header Card Input Button Form Validation","POST /api/auth/login",Public,React Form State,/report /admin,Email password validation remember me,✅
/report,Report List,Display list of patient reports and create new,"Header Card Table Pagination Button","GET /api/patients-data GET /api/patients-data/:patientId/reports",Viewer Admin,React State Pagination,"[id] /report/[id] /report/[id]/edit /admin",Search filter sort pagination quick actions,✅
/report/[id],Report View,Display comprehensive patient report,"Comprehensive Report Viewer Report Sections Chart Display PDF Export","GET /api/comprehensive-report-data/:reportId GET /api/patients-data/:patientId","Viewer Admin",React State Loaded Data,/report /report/[id]/edit /shared/[token],View all sections print PDF download share,✅
/report/[id]/edit,Report Editor,Edit patient report sections and content,"Report Settings Admin Patient Info Admin Nutrition Admin Sports Admin Sleep Admin Lifestyle Admin Digestive Admin Allergies Admin Addiction Admin Preventive Admin Metabolic Admin","PATCH /api/patients-data/:patientId PATCH /api/patients-data/:patientId/reports/:reportId POST /api/upload-image","Admin only",React Form State Local State,/report /report/[id],Edit sections upload images save draft publish,✅
/report/[id]/pdf,PDF Generation,Generate and preview PDF report,"PDF Generator PDF Viewer Report Renderer","GET /api/comprehensive-report-data/:reportId/pdf POST /api/comprehensive-report-data/:reportId/pdf","Viewer Admin",React State PDF State,/report /report/[id],Generate PDF download email send preview,✅
/report/[id]/preview,Report Preview,Preview report before publishing,"Comprehensive Report Viewer Report Preview Component","GET /api/comprehensive-report-data/:reportId","Admin only",React State,/report /report/[id]/edit,Live preview toggle sections compare versions,✅
/shared/[token],Shared Access,View publicly shared report with token,"Comprehensive Report Viewer Share Access UI","GET /api/shared-access/:token GET /api/comprehensive-report-data/:reportId","Public (with token)",React State Share Context,/report /shared/[token],View report download PDF password required if set,✅
/admin,Admin Dashboard,Admin control panel and management,"Header Admin Components Settings Interface Stats Dashboard","GET /api/users GET /api/audit-logs GET /api/system-config GET /api/patients-data","Admin only",React State Redux Context,/admin/users /admin/settings /admin/logs /admin/reports,Dashboard overview quick actions,✅
/admin/users,User Management,Manage user accounts and permissions,"User Table Create User Form Edit User Form Delete Dialog","GET /api/users POST /api/users PATCH /api/users/:id DELETE /api/users/:id","Admin only",React Table State Form State,/admin /admin/users/:id,Create edit delete users assign roles reset password,✅
/admin/users/[id],User Details,Edit specific user profile and permissions,"User Edit Form Change Password Dialog Role Assignment","GET /api/users/:id PATCH /api/users/:id POST /api/users/:id/password","Admin only",React Form State,/admin/users,Edit user details permissions last login,✅
/admin/settings,Settings,Configure system-wide settings,"Settings Admin Form Config Components Theme Selector","GET /api/system-config PATCH /api/system-config","Admin only",React Form State,/admin /admin/settings/email /admin/settings/security,SMTP PDF settings report templates theme colors,✅
/admin/settings/email,Email Settings,Configure email and notifications,"Email Config Form SMTP Settings Test Email","GET /api/system-config PATCH /api/system-config","Admin only",React Form State,/admin/settings,SMTP server credentials notification templates,✅
/admin/settings/security,Security Settings,Configure security and authentication,"Security Config Form 2FA Settings Session Duration,"GET /api/system-config PATCH /api/system-config","Admin only",React Form State,/admin/settings,2FA password policy session timeout rate limits,✅
/admin/logs,Audit Logs,View system audit logs and activities,"Audit Log Table Filter Search Export Button","GET /api/audit-logs","Admin only",React Table State Filter State,/admin,Filter by date user action search export CSV,✅
/admin/reports,Report Management,Manage all patient reports,"Report List Table Bulk Actions Delete Dialog","GET /api/patients-data GET /api/patients-data/:patientId/reports DELETE /api/patients-data/:patientId/reports/:id","Admin only",React Table State,/admin /admin/reports/:id,Bulk delete archive rebuild reports,✅
/admin/reports/[id],Report Details,Full report management and editing,"Comprehensive Admin Interface All Section Editors Full Access","GET /api/comprehensive-report-data/:reportId PATCH /api/patients-data/:patientId/reports/:reportId","Admin only",React State,/admin/reports,Full report control edit sections view history,✅
/api/health,Health Check,API health and status,None,None,All,None,None,Server status database connectivity uptime,✅
/api/docs,API Documentation,Swagger/OpenAPI documentation,Swagger UI JSON Schema,None,Public,None,None,API endpoints test endpoints documentation,✅
